threatened_plant_id,conservation_status,provenance,weed_rating,habit,germplasm_source,conservation_benefit,local_benefits_description,horticultural_potential
3001,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Annual,Currently held limited propagation material,Bushfire Recovery,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3002,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Annual,Currently held in collection,Bushfire Recovery,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3003,Endangered,Indigenous to City of Melbourne,Medium Risk,Herbaceous Perennial,Not held in collection but easily obtained,,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3004,Endangered,Indigenous to City of Melbourne,Medium Risk,Herbaceous Perennial,Not held in collection moderately difficult to collect,,Culturally Important to Traditional owners / and or local community,Little or no ornamental/display potential
3005,Critically Endangered,Indigenous to City of Melbourne,Medium Risk,Herbaceous Perennial,Currently held limited propagation material,,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3006,Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Not held in collection but easily obtained,,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3007,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Currently held in collection,Bushfire Recovery,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3008,Endangered,Indigenous to Greater Melbourne,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3009,Endangered,Indigenous to Greater Melbourne,Medium Risk,Grass or Grasslike,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3010,Endangered,Indigenous to Greater Melbourne,Medium Risk,Grass or Grasslike,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
